tip	date	distance	residual
CRT490-C_rodent_COD_2010-05-23	2010.3890410958904	0.18503328019384133	-0.017227393430791077
CRT64-E_rodent_COD_2010-05-04	2010.33698630137	0.18102058819384134	-0.020651695682265575
MOZ094_rodent_MOZ_2011-07-29	2011.572602739726	0.24979261380615866	0.03415381537294379
MOZ133_rodent_MOZ_2011-07-30	2011.5753424657535	0.25012700650615866	0.03445724019144375
MOZ329-C_rodent_MOZ_2011-08-17	2011.6246575342466	0.23539653800615865	0.019169349824418286
TA498-C_rodent_TZA_2013-07-03	2013.5013698630137	0.19372114820615866	-0.0437190388040028
TA528_rodent_TZA_2013-07-03	2013.5013698630137	0.19337882520615865	-0.0440613618040028
TA085_rodent_TZA_2013-06-18	2013.4602739726026	0.26309060829384134	0.026114939506201695
TA100-C_rodent_TZA_2013-06-18	2013.4602739726026	0.2652759060938414	0.028300237306201736
CRT382_rodent_COD_2010-05-22	2010.386301369863	0.19530005449384133	-0.0069296512492874884
CRT471_rodent_COD_2010-05-23	2010.3890410958904	0.19265423239384136	-0.009606441230791046
